IdVer,IdParam,VlParam
1,1,1
1,2,"1,5"
1,3,"1,23"
1,4,"0,85"
1,5,"1,1"
1,6,"1,5"
1,7,1
1,8,0
1,9,0
1,10,0
1,11,0
1,12,"""concentric"""
1,13,0
1,14,"0,26"
1,15,true
1,16,false
1,17,true
1,18,0
1,19,"""nowhere"""
1,20,true
1,21,false
1,22,"0,26"
1,23,"0,26"
1,24,"""back"""
1,25,0
1,26,-300
1,27,"""z_seam_corner_none"""
1,28,0
1,29,"0,07"
1,30,0
1,31,"""zigzag"""
1,32,"[22,292,157,247,337,112,202,67]"
1,33,true
1,34,"0,8"
1,35,"1,2"
1,36,"0,95"
1,37,false
1,38,0
1,39,0
1,40,0
1,41,0
1,42,0
1,43,270
1,44,270
1,45,270
1,46,270
1,47,270
1,48,65
1,49,65
1,50,65
1,51,"28,68"
1,52,"23,5"
1,53,"22,5"
1,54,45
1,55,"28,68"
1,56,23
1,57,40
1,58,40
1,59,"37,5"
1,60,20
1,61,27
1,62,15
1,63,27
1,64,250
1,65,15
1,66,250
1,67,3
1,68,true
1,69,300
1,70,true
1,71,1500
1,72,500
1,73,1000
1,74,1500
1,75,1000
1,76,1500
1,77,false
1,78,20
1,79,20
1,80,20
1,81,30
1,82,20
1,83,30
1,84,true
1,85,1
1,86,80
1,87,80
1,88,2
1,89,3
1,90,"0,8"
1,91,"""all"""
1,92,5
1,93,true
1,94,false
1,95,130
1,96,60
1,97,50
1,98,100
1,99,0
1,100,10
1,101,5
1,102,20
1,103,"""none"""
1,104,false
1,105,true
1,106,0
1,107,false
1,108,false
1,109,"0,3"
1,110,"0,5"
1,111,"""both"""
1,112,true
1,113,false
1,114,false
1,115,0
1,116,2
1,117,2
1,118,"0,3"
1,119,false
1,120,true
1,121,3
1,122,"22,94"
1,123,100
1,124,false
1,125,100
1,126,0
2,1,1
2,2,"1,5"
2,3,"1,23"
2,4,"0,85"
2,5,"1,1"
2,6,"0,7"
2,7,1
2,8,0
2,9,0
2,10,0
2,11,0
2,12,"""concentric"""
2,13,0
2,14,"0,26"
2,15,true
2,16,false
2,17,false
2,18,0
2,19,"""nowhere"""
2,20,true
2,21,false
2,22,"0,26"
2,23,"0,26"
2,24,"""back"""
2,25,0
2,26,-300
2,27,"""z_seam_corner_none"""
2,28,0
2,29,"0,07"
2,30,0
2,31,"""zigzag"""
2,32,"[22,292,157,247,337,112,202,67]"
2,33,true
2,34,"0,6"
2,35,"1,2"
2,36,"0,95"
2,37,false
2,38,0
2,39,0
2,40,0
2,41,0
2,42,0
2,43,270
2,44,270
2,45,270
2,46,270
2,47,270
2,48,65
2,49,65
2,50,65
2,51,"28,68"
2,52,23
2,53,"22,5"
2,54,45
2,55,"28,68"
2,56,23
2,57,40
2,58,40
2,59,"37,5"
2,60,20
2,61,27
2,62,15
2,63,27
2,64,250
2,65,15
2,66,250
2,67,3
2,68,true
2,69,300
2,70,true
2,71,1500
2,72,500
2,73,1000
2,74,1500
2,75,1000
2,76,1500
2,77,false
2,78,20
2,79,20
2,80,20
2,81,30
2,82,20
2,83,30
2,84,true
2,85,1
2,86,80
2,87,80
2,88,2
2,89,3
2,90,"0,8"
2,91,"""all"""
2,92,5
2,93,true
2,94,false
2,95,130
2,96,60
2,97,50
2,98,100
2,99,0
2,100,10
2,101,5
2,102,20
2,103,"""none"""
2,104,false
2,105,true
2,106,0
2,107,false
2,108,false
2,109,"0,3"
2,110,"0,5"
2,111,"""both"""
2,112,true
2,113,false
2,114,false
2,115,0
2,116,2
2,117,2
2,118,"0,3"
2,119,false
2,120,true
2,121,3
2,122,"22,94"
2,123,100
2,124,false
2,125,100
2,126,0
3,1,1
3,2,"1,5"
3,3,"1,23"
3,4,"0,85"
3,5,"1,1"
3,6,"0,7"
3,7,1
3,8,0
3,9,0
3,10,0
3,11,0
3,12,"""zigzag"""
3,13,0
3,14,"0,26"
3,15,true
3,16,false
3,17,false
3,18,0
3,19,"""nowhere"""
3,20,true
3,21,false
3,22,"0,26"
3,23,"0,26"
3,24,"""back"""
3,25,0
3,26,-300
3,27,"""z_seam_corner_none"""
3,28,0
3,29,"0,07"
3,30,0
3,31,"""zigzag"""
3,32,"[22,292,157,247,337,112,202,67]"
3,33,true
3,34,"0,6"
3,35,"1,2"
3,36,"0,95"
3,37,false
3,38,0
3,39,0
3,40,0
3,41,0
3,42,0
3,43,270
3,44,270
3,45,270
3,46,270
3,47,270
3,48,65
3,49,65
3,50,65
3,51,"28,68"
3,52,"26,2"
3,53,"22,5"
3,54,45
3,55,"28,68"
3,56,23
3,57,40
3,58,40
3,59,"37,5"
3,60,20
3,61,27
3,62,15
3,63,27
3,64,250
3,65,15
3,66,250
3,67,3
3,68,true
3,69,300
3,70,true
3,71,1500
3,72,500
3,73,1000
3,74,1500
3,75,1000
3,76,1500
3,77,false
3,78,20
3,79,20
3,80,20
3,81,30
3,82,20
3,83,30
3,84,true
3,85,1
3,86,80
3,87,80
3,88,2
3,89,3
3,90,"0,8"
3,91,"""all"""
3,92,5
3,93,true
3,94,false
3,95,130
3,96,60
3,97,50
3,98,100
3,99,0
3,100,10
3,101,5
3,102,20
3,103,"""none"""
3,104,false
3,105,true
3,106,0
3,107,false
3,108,false
3,109,"0,3"
3,110,"0,5"
3,111,"""both"""
3,112,true
3,113,false
3,114,false
3,115,0
3,116,2
3,117,2
3,118,"0,3"
3,119,false
3,120,true
3,121,3
3,122,"22,94"
3,123,100
3,124,false
3,125,100
3,126,0
4,1,1
4,2,"1,5"
4,3,"1,23"
4,4,"0,85"
4,5,"1,1"
4,6,"0,7"
4,7,1
4,8,0
4,9,0
4,10,0
4,11,0
4,12,"""zigzag"""
4,13,0
4,14,"0,26"
4,15,true
4,16,false
4,17,false
4,18,0
4,19,"""nowhere"""
4,20,true
4,21,false
4,22,"0,26"
4,23,"0,26"
4,24,"""back"""
4,25,0
4,26,-300
4,27,"""z_seam_corner_none"""
4,28,0
4,29,"0,07"
4,30,0
4,31,"""zigzag"""
4,32,"[22,292,157,247,337,112,202,67]"
4,33,true
4,34,"0,6"
4,35,"1,2"
4,36,"0,95"
4,37,false
4,38,0
4,39,0
4,40,0
4,41,0
4,42,0
4,43,270
4,44,270
4,45,270
4,46,270
4,47,270
4,48,65
4,49,65
4,50,65
4,51,"28,68"
4,52,"26,2"
4,53,"22,5"
4,54,45
4,55,"28,68"
4,56,23
4,57,40
4,58,40
4,59,"37,5"
4,60,20
4,61,27
4,62,15
4,63,27
4,64,250
4,65,15
4,66,250
4,67,3
4,68,true
4,69,301
4,70,true
4,71,1500
4,72,500
4,73,1000
4,74,1500
4,75,1000
4,76,1500
4,77,false
4,78,20
4,79,20
4,80,20
4,81,30
4,82,20
4,83,30
4,84,true
4,85,1
4,86,80
4,87,80
4,88,2
4,89,3
4,90,"0,8"
4,91,"""all"""
4,92,6
4,93,true
4,94,false
4,95,130
4,96,60
4,97,50
4,98,100
4,99,0
4,100,10
4,101,5
4,102,20
4,103,"""none"""
4,104,false
4,105,true
4,106,1
4,107,false
4,108,false
4,109,"0,3"
4,110,"0,5"
4,111,"""both"""
4,112,true
4,113,false
4,114,false
4,115,0
4,116,2
4,117,2
4,118,"0,3"
4,119,false
4,120,true
4,121,3
4,122,"22,94"
4,123,100
4,124,false
4,125,100
4,126,0
5,1,1
5,2,"1,5"
5,3,"1,23"
5,4,"0,85"
5,5,"1,1"
5,6,"0,7"
5,7,1
5,8,0
5,9,0
5,10,0
5,11,0
5,12,"""zigzag"""
5,13,0
5,14,"0,26"
5,15,true
5,16,false
5,17,false
5,18,0
5,19," ""nowhere"""
5,20,true
5,21,false
5,22,"0,26"
5,23,"0,26"
5,24," ""back"""
5,25,0
5,26,-300
5,27," ""z_seam_corner_none"""
5,28,0
5,29,"0,07"
5,30,0
5,31," ""zigzag"""
5,32,"[22,292,157,247,337,112,202,67]"
5,33,true
5,34,"0,6"
5,35,"1,2"
5,36,"0,95"
5,37,false
5,38,0
5,39,0
5,40,0
5,41,0
5,42,0
5,43,270
5,44,270
5,45,270
5,46,270
5,47,270
5,48,65
5,49,65
5,50,65
5,51,"28,68"
5,52,"26,2"
5,53,"22,5"
5,54,45
5,55,"28,68"
5,56,23
5,57,40
5,58,40
5,59,"37,5"
5,60,20
5,61,27
5,62,15
5,63,27
5,64,250
5,65,15
5,66,250
5,67,3
5,68,true
5,69,302
5,70,true
5,71,1500
5,72,500
5,73,1000
5,74,1500
5,75,1000
5,76,1500
5,77,false
5,78,20
5,79,20
5,80,20
5,81,30
5,82,20
5,83,30
5,84,true
5,85,1
5,86,80
5,87,80
5,88,2
5,89,3
5,90,"0,8"
5,91," ""all"""
5,92,7
5,93,true
5,94,false
5,95,130
5,96,60
5,97,50
5,98,100
5,99,0
5,100,10
5,101,5
5,102,20
5,103," ""none"""
5,104,false
5,105,true
5,106,2
5,107,false
5,108,false
5,109,"0,3"
5,110,"0,5"
5,111," ""both"""
5,112,true
5,113,false
5,114,false
5,115,0
5,116,2
5,117,2
5,118,"0,3"
5,119,false
5,120,true
5,121,3
5,122,"22,94"
5,123,100
5,124,false
5,125,100
5,126,0
6,1,1
6,2,"1,5"
6,3,"1,23"
6,4,"0,85"
6,5,"1,1"
6,6,"0,7"
6,7,1
6,8,0
6,9,0
6,10,0
6,11,0
6,12,"""zigzag"""
6,13,0
6,14,"0,26"
6,15,true
6,16,false
6,17,false
6,18,0
6,19," ""nowhere"""
6,20,true
6,21,false
6,22,"0,26"
6,23,"0,26"
6,24," ""back"""
6,25,0
6,26,-300
6,27," ""z_seam_corner_none"""
6,28,0
6,29,"0,07"
6,30,0
6,31," ""zigzag"""
6,32,"[22,292,157,247,337,112,202,67]"
6,33,true
6,34,"0,6"
6,35,"1,2"
6,36,"0,95"
6,37,false
6,38,0
6,39,0
6,40,0
6,41,0
6,42,0
6,43,270
6,44,270
6,45,270
6,46,270
6,47,270
6,48,65
6,49,65
6,50,65
6,51,"28,68"
6,52,"26,2"
6,53,"22,5"
6,54,45
6,55,"28,68"
6,56,23
6,57,40
6,58,40
6,59,"37,5"
6,60,20
6,61,27
6,62,15
6,63,27
6,64,250
6,65,15
6,66,250
6,67,3
6,68,true
6,69,303
6,70,true
6,71,1500
6,72,500
6,73,1000
6,74,1500
6,75,1000
6,76,1500
6,77,false
6,78,20
6,79,20
6,80,20
6,81,30
6,82,20
6,83,30
6,84,true
6,85,1
6,86,80
6,87,80
6,88,2
6,89,3
6,90,"0,8"
6,91," ""all"""
6,92,8
6,93,true
6,94,false
6,95,130
6,96,60
6,97,50
6,98,100
6,99,0
6,100,10
6,101,5
6,102,20
6,103," ""none"""
6,104,false
6,105,true
6,106,3
6,107,false
6,108,false
6,109,"0,3"
6,110,"0,5"
6,111," ""both"""
6,112,true
6,113,false
6,114,false
6,115,0
6,116,2
6,117,2
6,118,"0,3"
6,119,false
6,120,true
6,121,3
6,122,"22,94"
6,123,100
6,124,false
6,125,100
6,126,0
